"last_name, first_name","player_id","year","hit","strikeout","walk","p_earned_run","p_save","p_blown_save","p_out","p_win","p_balk","p_quality_start","p_hit_by_pitch","p_hold","p_total_pickoff"
"Henry, Tommy",674072,2024,49,30,18,"30","0","0","115","2","0","1","4","0","0"
"Nelson, Nick",656793,2024,8,8,2,"3","0","0","16","0","0","0","1","0","0"
"Kimbrel, Craig",518886,2024,40,73,31,"31","23","6","157","7","1","0","5","4","0"
"Bradish, Kyle",680694,2024,27,53,15,"12","0","0","118","2","0","2","3","0","1"
"Ortiz, Luis",682847,2024,109,107,42,"50","1","2","407","7","1","7","9","1","1"
"Ramirez, Emmanuel",642629,2024,21,21,8,"16","0","0","62","0","0","0","3","0","0"
"Miller, Ryan",668943,2024,13,11,8,"6","0","1","39","0","0","0","0","1","0"
"Barnes, Jacob",606930,2024,67,55,20,"32","0","3","198","8","0","0","0","2","0"
"Glasnow, Tyler",607192,2024,92,168,35,"52","0","0","402","9","1","14","0","0","0"
"Mushinski, Parker",656786,2024,11,3,5,"8","0","0","33","0","0","0","1","1","0"
"Poteet, Cody",547001,2024,18,16,8,"6","0","0","73","3","0","1","1","0","1"
"Brieske, Beau",689225,2024,55,69,30,"27","1","1","203","4","0","0","2","6","0"
"Brooks, Aaron",605156,2024,33,12,8,"15","0","0","80","0","0","2","1","0","0"
"Funderburk, Kody",681892,2024,41,32,15,"25","1","0","104","1","1","0","5","5","1"
"Treinen, Blake",595014,2024,33,56,11,"10","1","4","140","7","0","0","2","16","3"
"Cole, Gerrit",543037,2024,78,99,29,"36","0","0","285","8","0","8","6","0","0"
"Weaver, Luke",596133,2024,52,103,26,"27","4","0","252","7","0","0","4","22","1"
"Santana, Dennis",642701,2024,57,69,21,"31","3","0","215","3","2","0","4","12","1"
"Miller, Mason",695243,2024,36,104,21,"18","28","3","195","2","0","0","1","0","0"
"Varland, Louis",686973,2024,68,49,16,"42","0","0","149","0","0","1","4","0","0"
"Saucedo, Tayler",642048,2024,35,38,18,"15","3","2","116","2","0","0","2","7","0"
"Pressly, Ryan",519151,2024,58,58,18,"22","4","8","170","2","0","0","2","25","0"
"Márquez, Germán",608566,2024,5,3,4,"3","0","0","12","0","0","0","0","0","0"
"Gilbreath, Lucas",656458,2024,7,0,1,"6","0","0","3","0","0","0","1","0","0"
"Corbin, Patrick",571578,2024,208,139,54,"109","0","0","524","6","0","9","3","0","3"
"Kelly, Joe",523260,2024,31,35,16,"17","0","2","96","1","2","0","5","13","1"
"Englert, Mason",669438,2024,23,16,5,"13","0","0","65","1","0","0","1","0","0"
"Scott, Christian",681035,2024,45,39,12,"24","0","0","142","0","0","3","2","0","0"
"Roycroft, Chris",688297,2024,31,33,17,"16","0","1","103","1","0","0","4","1","0"
"Valdez, Framber",664285,2024,140,169,55,"57","0","0","529","15","1","17","6","0","0"
"García, Luis",472610,2024,61,53,15,"32","4","3","177","5","0","0","3","14","0"
"Weathers, Ryan",677960,2024,78,80,24,"35","0","0","260","5","1","7","9","0","0"
"Heaney, Andrew",571760,2024,159,159,41,"76","0","0","480","5","0","7","12","0","0"
"Ashby, Aaron",676879,2024,20,33,10,"9","0","0","85","1","0","0","0","3","0"
"Cuas, Jose",621016,2024,19,17,10,"14","0","0","49","0","0","0","5","0","0"
